n,k,nk,architecture,tau_BP,censored
8,2,16,brickwall,19,False
8,3,24,brickwall,16,False
8,4,32,brickwall,13,False
8,5,40,brickwall,10,False
8,6,48,brickwall,7,False
8,8,64,brickwall,2,False
10,2,20,brickwall,17,False
10,3,30,brickwall,14,False
10,4,40,brickwall,11,False
10,5,50,brickwall,8,False
10,6,60,brickwall,3,False
10,8,80,brickwall,2,False
10,10,100,brickwall,2,False
12,2,24,brickwall,15,False
12,3,36,brickwall,12,False
12,4,48,brickwall,9,False
12,5,60,brickwall,4,False
12,6,72,brickwall,4,False
12,8,96,brickwall,2,False
12,10,120,brickwall,2,False
12,12,144,brickwall,2,False
14,2,28,brickwall,13,False
14,3,42,brickwall,10,False
14,4,56,brickwall,7,False
14,5,70,brickwall,4,False
14,6,84,brickwall,2,False
14,8,112,brickwall,2,False
14,10,140,brickwall,2,False
14,12,168,brickwall,1,False
14,14,196,brickwall,1,False
16,2,32,brickwall,12,False
16,3,48,brickwall,10,False
16,4,64,brickwall,7,False
16,5,80,brickwall,2,False
16,6,96,brickwall,2,False
16,8,128,brickwall,2,False
16,10,160,brickwall,2,False
16,12,192,brickwall,1,False
16,14,224,brickwall,1,False
16,16,256,brickwall,1,False
